model,task,cv,balanced_accuracy,macro_f1,roc_auc,config_tag
dummy,binary,LOSO,0.5202418851312826,0.5201649862855096,0.520492456438589,both
logistic,binary,LOSO,0.8497686158094244,0.8406729160122726,0.9261946185720356,both
random_forest,binary,LOSO,0.8642965064429595,0.8766858975208567,0.9628499521886952,both
gradient_boosting,binary,LOSO,0.9018448988082854,0.8981536777516704,0.9701743784530388,both
dummy,binary,LOSO,0.5202418851312826,0.5201649862855096,0.520492456438589,chest
logistic,binary,LOSO,0.8414571574991103,0.8286407901143625,0.9174026508712282,chest
random_forest,binary,LOSO,0.7956200392539065,0.7859090200828018,0.9435893008924776,chest
gradient_boosting,binary,LOSO,0.8304179370929943,0.8262733827567659,0.944150419677008,chest
dummy,binary,LOSO,0.5202418851312826,0.5201649862855096,0.520492456438589,default
logistic,binary,LOSO,0.8497686158094244,0.8406729160122726,0.9261946185720356,default
random_forest,binary,LOSO,0.8642965064429595,0.8766858975208567,0.9628499521886952,default
gradient_boosting,binary,LOSO,0.9018448988082854,0.8981536777516704,0.9701743784530388,default
dummy,multiclass,LOSO,0.3417102049201732,0.3408582147639622,,multiclass
logistic,multiclass,LOSO,0.7017914466037477,0.6637251604914669,,multiclass
random_forest,multiclass,LOSO,0.6796896330565471,0.6664628391466356,,multiclass
gradient_boosting,multiclass,LOSO,0.6893995466455699,0.6666833456487432,,multiclass
dummy,binary,LOSO,0.5202418851312826,0.5201649862855096,0.520492456438589,wrist
logistic,binary,LOSO,0.7176808056903404,0.6892031192796771,0.8124568370165746,wrist
random_forest,binary,LOSO,0.8244901772521909,0.8341261746055488,0.918412000637484,wrist
gradient_boosting,binary,LOSO,0.7735384837638842,0.763803313883059,0.8929524808754782,wrist
